Year,Oil_Prices,Oil_Prices_Growth%,GDP,GDP_Growth%,Non_Oil_GDP_Growth%,Oil_Rents%GDP,Non_Oil_Rents%GDP,Unemployment_Rate,Oil_Exports
1968,11.3202,,4187778000,,,,,,
1969,11.3202,0,4485778000,6.037886549,,,,,
1970,11.3202,0,5377269000,58.64733065,,27.76199918,72.23800082,,
1971,14.08736,24.44444444,7184863000,20.51221675,,34.14382184,65.85617816,,
1972,15.59672,10.71428571,9664068000,22.93064025,,39.13995085,60.86004915,,
1973,20.69081,32.66129032,14947490000,24.17052854,,46.60400557,53.39599443,,
1974,72.82662,251.9756839,45412970000,16.22806527,,70.14284602,29.85715398,,
1975,72.51217,-0.4317789292,46773300000,-8.92861431,,55.71831784,44.28168216,,
1976,80.4992,11.01474415,64005620000,17.8209742,,54.26630435,45.73369565,,
1977,87.54288,8.75,74188360000,7.093359898,,54.01691954,45.98308046,,
1978,88.17178,0.7183908046,80265730000,-5.21972607,,45.81171165,54.18828835,,
1979,198.79529,125.4636234,111859700000,11.91943156,,87.18431449,12.81568551,,
1980,231.62387,16.51376147,164541700000,5.652457607,,71.18204092,28.81795908,,
1981,225.96377,-2.44366006,184291900000,1.943004454,,55.95323912,44.04676088,,
1982,207.34833,-8.238241024,153239000000,-20.7298883,,35.35079714,64.64920286,,
1983,185.83995,-10.37306642,129171600000,-16.0513862,,33.67017803,66.32982197,,
1984,180.99742,-2.605752961,119624900000,-4.66145193,,32.56686254,67.43313746,,
1985,173.32484,-4.239054899,103897900000,-9.79450226,,26.34770704,73.65229296,,
1986,90.75027,-47.64150943,86962010000,17.01274626,,22.68056698,77.31943302,,
1987,115.93797,27.75495875,85695940000,-6.63249601,,27.87439451,72.12560549,,
1988,93.85604,-19.04633141,88256160000,13.10931294,,26.72469316,73.27530684,,
1989,114.62402,22.12748375,95344350000,-0.50301588,,34.54224111,65.45775889,,
1990,149.21168,30.17487958,117630300000,15.19342589,,47.13298359,52.86701641,,
1991,125.78575,-15.69979642,132223300000,15.00788025,,32.41285461,67.58714539,7.070000172,
1992,121.50874,-3.400234128,137087900000,3.987540169,,33.62036319,66.37963681,7.19999981,
1993,106.73461,-12.15890314,132967900000,-1.36374143,,32.17976233,67.82023767,6.85400009,
1994,99.47705,-6.799631347,135174900000,0.558720185,,28.61330031,71.38669969,6.40999985,
1995,107.0179,7.580492184,143343000000,0.212091348,,29.64605479,70.35394521,5.99399996,
1996,129.98412,21.46016694,158662400000,2.637424217,,33.2368717,66.7631283,5.54899979,
1997,120.07329,-7.624646765,165963600000,1.103782049,,29.22336112,70.77663888,5.14699984,
1998,79.96879,-33.40001761,146775500000,2.893362519,,20.6607808,79.3392192,4.71299982,
1999,113.01382,41.3224084,161717000000,-3.76328522,,26.65733302,73.34266698,4.3499999,
2000,179.20789,58.57165964,189514900000,5.625416143,5.7179399,41.13958145,58.86041855,4.57000017,6253095.89
2001,153.72764,-14.21826349,184137500000,-1.21074386,3.26165394,33.16374896,66.83625104,4.61999989,6035890.411
2002,157.37126,2.370178844,189605900000,-2.8191744,3.30610504,31.08368944,68.91631056,5.26999998,5284657.534
2003,181.3163,15.21563721,215807700000,11.24206139,3.6355286,36.76996899,63.23003101,5.55999994,6523013.699
2004,240.64858,32.72308116,258742300000,7.958441664,9.32249487,42.11539026,57.88460974,5.82000017,6813424.658
2005,342.88312,42.48291845,328459700000,5.573850121,7.35077832,51.54299037,48.45700963,6.05000019,7208767.123
2006,409.69103,19.48416417,376900100000,2.788402228,8.35870053,51.25293689,48.74706311,6.25,7029369.863
2007,455.25492,11.12152492,415964600000,1.847130252,8.87510615,47.50691019,52.49308981,5.73000002,6962082.192
2008,611.64282,34.35172101,519796738640,6.249772755,7.99865037,54.44828074,45.55171926,5.07999992,7320547.945
2009,387.85059,-36.58871202,429097899280,-2.05924919,5.89861584,34.29780329,65.70219671,5.38000011,6267671.233
2010,499.94745,28.90207283,528207332650,5.039484026,9.54904857,38.95747496,61.04252504,5.55000019,6643835.616
2011,699.68647,39.95200296,671239000000,9.996865166,8.19643858,50.77643983,49.22356017,5.76999998,7216438.356
2012,702.29074,0.3722052822,735975000000,5.41142278,5.50896254,48.38470169,51.61529831,5.51999998,7578082.192
2013,683.35341,-2.696508571,746647000000,2.699281071,6.40956867,45.18074259,54.81925741,5.5999999,7569863.014
2014,622.27146,-8.938559332,756350000000,3.652485666,4.86247719,40.42577976,59.57422024,5.71999979,7153424.658
2015,329.46033,-47.05520803,654270000000,4.106393864,3.20220798,23.57103669,76.42896331,5.5999999,7163013.699
2016,275.0442,-16.51674725,644936000000,1.670664257,0.2265329,19.62028766,80.37971234,5.5999999,7483835.616
2017,340.81626,23.91326921,688586000000,-0.74152842,1.26155916,23.67599706,76.32400294,5.88999987,6968328.767
2018,448.46897,31.58672946,816579000000,2.5141658,-1.5385179,29.29836086,70.70163914,6.03000021,7371506.849
2019,403.82027,-9.955805861,803616000000,0.333780755,2.75590689,24.60287169,75.39712831,5.63999987,7037000
2020,263.12135,-34.84196571,703368000000,-4.13767038,-2.52874663,17.69534345,82.30465655,7.44999981,6632320.548
2021,445.96491,69.4902029,833541000000,3.240929768,4.89675727,,,6.69199991,6415417.516